model_name,provider,input_price,output_price,model_price,price_unit,currency,description,tags,billing_type,model_multiplier,completion_multiplier,group_multiplier
claude-opus-4-5-20251101,Claude,2.5,12.5,,/M输出,¥,,对话,按量计费,,,
gemini-3-pro-image-preview,Gemini,,,0.159,,¥,"Nano Banana 2是Google Gemini系列中的下一代AI图像生成与编辑模型,是Gemini 2.5 Flash Image(Nano Banana)的升级版。该模型融合多模态Transformer和扩散模型,原生支持2K(2048×2048)及4K分辨率输出,在图像质量、文字渲染、物理推理等方面实现显著提升。",绘画,按次计费,,,
gpt-5.1,OpenAI,0.375,3,,/M输出,¥,"GPT-5.1：更智能、更具对话性的聊天GPT,最常用的型号，现在更温暖、更智能，更能遵循您的指令。","对话, 识图",按量计费,,,
gemini-3-pro-preview,Gemini,0.6,3.6,,/M输出,¥,Gemini 3 是谷歌迄今为止最智能的模型系列，以先进的推理能力为基础。它旨在通过掌握智能体工作流、自主编码和复杂的多模态任务，将任何想法变为现实。gemini-3-pro-preview 最适合需要广泛的世界知识和跨模态的高级推理的复杂任务。,"对话, 思考, 多模态",按量计费,,,
gemini-3-pro-preview-11-2025,Gemini,0.6,3.6,,/M输出,¥,Gemini 3 是谷歌迄今为止最智能的模型系列，以先进的推理能力为基础。它旨在通过掌握智能体工作流、自主编码和复杂的多模态任务，将任何想法变为现实。gemini-3-pro-preview 最适合需要广泛的世界知识和跨模态的高级推理的复杂任务。,"对话, 思考, 多模态",按量计费,,,
gemini-3-pro-preview-thinking,Gemini,0.6,3.6,,/M输出,¥,Gemini 3 是谷歌迄今为止最智能的模型系列，以先进的推理能力为基础。它旨在通过掌握智能体工作流、自主编码和复杂的多模态任务，将任何想法变为现实。gemini-3-pro-preview 最适合需要广泛的世界知识和跨模态的高级推理的复杂任务。,"对话, 思考, 多模态",按量计费,,,
claude-haiku-4-5-20251001,Claude,0.5,2.5,,/M输出,¥,Claude Haiku 4.5 是速度最快、性价比最高的模型，在编码、计算机使用和代理任务方面的表现与 Sonnet 4 相当。,"对话, 识图, 思考",按量计费,,,
claude-haiku-4-5-20251001-thinking,Claude,0.5,2.5,,/M输出,¥,Claude Haiku 4.5 是速度最快、性价比最高的模型，在编码、计算机使用和代理任务方面的表现与 Sonnet 4 相当。,"对话, 识图, 思考",按量计费,,,
claude-opus-4-1-20250805,Claude,7.5,37.5,,/M输出,¥,Anthropic公告，新模型在智能体工具调用、智能体编程与多语言问答能力上全面超越OpenAI o3，Opus 4.1在SWE-bench Verified上的顶级编码性能提升至74.5%，该版本还增强了Claude的深度研究与数据分析能力，特别是在细节追踪和智能体搜索方面。,"对话, 识图",按量计费,,,
claude-opus-4-1-20250805-thinking,Claude,7.5,37.5,,/M输出,¥,Anthropic公告，新模型在智能体工具调用、智能体编程与多语言问答能力上全面超越OpenAI o3，Opus 4.1在SWE-bench Verified上的顶级编码性能提升至74.5%，该版本还增强了Claude的深度研究与数据分析能力，特别是在细节追踪和智能体搜索方面。,"对话, 识图, 思考",按量计费,,,
claude-opus-4-20250514,Claude,7.5,37.5,,/M输出,¥,Claude 4系列是Anthropic公司最新一代AI模型，代表了当前大型语言模型技术的巅峰水平。这一代模型主要分为两条产品线：Claude Sonnet 4和Claude Opus 4，分别针对不同的应用场景和需求。,"对话, 识图",按量计费,,,
claude-opus-4-20250514-thinking,Claude,7.5,37.5,,/M输出,¥,思考版Claude Opus 4 是全球领先的编码模型，在复杂、长时间运行的任务和代理工作流中拥有持续的性能。Claude Sonnet 4 是 Claude Sonnet 3.7 的重大升级，提供卓越的编码和推理能力，同时更精确地响应您的指令。,"对话, 识图, 思考",按量计费,,,
claude-sonnet-4-20250514,Claude,1.5,7.5,,/M输出,¥,Claude 4系列是Anthropic公司最新一代AI模型，代表了当前大型语言模型技术的巅峰水平。这一代模型主要分为两条产品线：Claude Sonnet 4和Claude Opus 4，分别针对不同的应用场景和需求。,"对话, 识图",按量计费,,,
claude-sonnet-4-20250514-thinking,Claude,1.5,7.5,,/M输出,¥,思考版Claude Sonnet 4 在 Claude Sonnet 3.7 的基础上，在多个领域进行了改进，尤其是在编码方面。它提供了适用于大多数 AI 用例的前沿性能，包括面向用户的 AI 助手和高容量任务。,"对话, 识图, 思考",按量计费,,,
claude-sonnet-4-5-20250929,Claude,1.5,7.5,,/M输出,¥,Claude Sonnet 4.5 是世界上最好的编码模型。它是构建复杂代理的最强大模型。它是使用计算机的最佳模型。它在推理和数学方面表现出显著的进步。,"对话, 识图, 思考",按量计费,,,
claude-sonnet-4-5-20250929-thinking,Claude,1.5,7.5,,/M输出,¥,Claude Sonnet 4.5 是世界上最好的编码模型。它是构建复杂代理的最强大模型。它是使用计算机的最佳模型。它在推理和数学方面表现出显著的进步。,"对话, 识图, 思考",按量计费,,,
gpt-5,OpenAI,0.375,3,,/M输出,¥,GPT-5 是我们面向跨领域编码、推理和智能体任务的旗舰模型。,"对话, 思考",按量计费,,,
gpt-5-2025-08-07,OpenAI,0.375,3,,/M输出,¥,GPT-5 是我们面向跨领域编码、推理和智能体任务的旗舰模型。,"对话, 识图, 思考",按量计费,,,
gpt-5-all,OpenAI,0.625,5,,/M输出,¥,gpt-5-all是openai最新的旗舰模型,对话,按量计费,,,
gpt-5-chat-latest,OpenAI,0.375,3,,/M输出,¥,GPT-5 Chat 指向当前 ChatGPT 所使用的 GPT-5 快照版本。,"对话, 识图",按量计费,,,
gpt-5-codex,OpenAI,0.375,3,,/M输出,¥,GPT-5-Codex 是 GPT-5 的一个版本，针对 Codex 中的代理编码进行了优化。与其前身 codex-1 一样，该模型在各种环境中使用强化学习对真实世界的编码任务进行训练，以生成与人类风格和公关偏好密切相关的代码，精确遵守指令，并迭代运行测试，直到获得通过的结果。,"对话, 识图, 思考",按量计费,,,
gpt-5-codex-high,OpenAI,0.375,3,,/M输出,¥,GPT-5-Codex 是 GPT-5 的一个版本，针对 Codex 中的代理编码进行了优化。与其前身 codex-1 一样，该模型在各种环境中使用强化学习对真实世界的编码任务进行训练，以生成与人类风格和公关偏好密切相关的代码，精确遵守指令，并迭代运行测试，直到获得通过的结果。,"对话, 识图, 思考",按量计费,,,
gpt-5-codex-low,OpenAI,0.375,3,,/M输出,¥,GPT-5-Codex 是 GPT-5 的一个版本，针对 Codex 中的代理编码进行了优化。与其前身 codex-1 一样，该模型在各种环境中使用强化学习对真实世界的编码任务进行训练，以生成与人类风格和公关偏好密切相关的代码，精确遵守指令，并迭代运行测试，直到获得通过的结果。,"对话, 识图, 思考",按量计费,,,
gpt-5-codex-medium,OpenAI,0.375,3,,/M输出,¥,GPT-5-Codex 是 GPT-5 的一个版本，针对 Codex 中的代理编码进行了优化。与其前身 codex-1 一样，该模型在各种环境中使用强化学习对真实世界的编码任务进行训练，以生成与人类风格和公关偏好密切相关的代码，精确遵守指令，并迭代运行测试，直到获得通过的结果。,"对话, 识图, 思考",按量计费,,,
gpt-5-high,OpenAI,0.375,3,,/M输出,¥,这一系列模型来自codex,对话,按量计费,,,
gpt-5-low,OpenAI,0.375,3,,/M输出,¥,这一系列模型来自codex,对话,按量计费,,,
gpt-5-medium,OpenAI,0.375,3,,/M输出,¥,这一系列模型来自codex,对话,按量计费,,,
gpt-5-mini,OpenAI,0.075,0.6,,/M输出,¥,GPT-5 Mini 是由 openai 提供的人工智能模型。,"工具, 多模态, 思考, 对话",按量计费,,,
gpt-5-mini-2025-08-07,OpenAI,0.075,0.6,,/M输出,¥,GPT-5 mini 是 GPT-5 的提速降本版本，特别适合处理定义清晰的任务和精确指令。,"对话, 识图, 思考",按量计费,,,
gpt-5-minimal,OpenAI,0.375,3,,/M输出,¥,这一系列模型来自codex,"对话, 思考",按量计费,,,
gpt-5-nano,OpenAI,0.015,0.12,,/M输出,¥,GPT-5 Nano 是由 openai 提供的人工智能模型。,"工具, 多模态, 思考, 对话",按量计费,,,
gpt-5-nano-2025-08-07,OpenAI,0.015,0.12,,/M输出,¥,GPT-5 Nano 是我们最快、最经济的 GPT-5 版本，特别适合摘要生成和分类任务。,"对话, 识图, 思考",按量计费,,,
gpt-5-pro,OpenAI,4.5,36,,/M输出,¥,GPT-5 Pro 是由 openai 提供的人工智能模型。,"对话, 识图, 思考",按量计费,,,
gpt-5-pro-all,OpenAI,,,0.805,,¥,gpt-5-pro-all 是openai 最新出的 顶尖模型,对话,按次计费,,,
gpt-5-search-api,OpenAI,5,40,,/M输出,¥,gpt-5专用搜索模型,"对话, 联网",按量计费,,,
gpt-5-search-api-2025-10-14,OpenAI,5,40,,/M输出,¥,gpt-5专用搜索模型,"对话, 联网",按量计费,,,
gpt-5-thinking-all,OpenAI,0.625,5,,/M输出,¥,gpt-5-thinking-all 是 openai 最新出的旗舰模型,"思考, 对话",按量计费,,,
veo_3_1,Gemini,,,0.15,,¥,"Google最新的高级人工智能模型, veo3.1快速 模式，支持视频自动配套音频生成，质量高价格很低，性价比最高的选择, 支持首尾帧和文生视频","视频生成, 异步",按次计费,,,
veo_3_1-fast,Gemini,,,0.06,,¥,"Google最新的高级人工智能模型, veo3.1快速 模式，支持视频自动配套音频生成，质量高价格很低，性价比最高的选择, 支持首尾帧和文生视频","视频生成, 异步",按次计费,,,
veo3,Gemini,,,0.45,,¥,"veo3 谷歌官方最新的视频生成模型，生成的视频带有声音，目前全球独一家带有声音的视频模型 ,  请求格式: openai chat格式","视频生成, 异步",按次计费,,,
veo3-pro-frames,Gemini,,,2,,¥,"Google最新的高级人工智能模型, veo3 高质量 模式，支持视频自动配套音频生成，支持首帧传递，不支持尾帧，质量超高，价格也超高，使用需注意","视频生成, 异步",按次计费,,,
veo3.1,Gemini,,,0.35,,¥,"Google最新的高级人工智能模型, veo3.1快速 模式，支持视频自动配套音频生成，质量高价格很低，性价比最高的选择, 支持首尾帧和文生视频","视频生成, 异步",按次计费,,,
veo3.1-components,Gemini,,,0.21,,¥,"Google最新的高级人工智能模型, veo3.1 高质量 模式，支持视频自动配套音频生成，质量超高，价格也超高，使用需注意, 多图元素合一功能，支持 1～3 个图片","视频生成, 异步",按次计费,,,
veo3.1-pro,Gemini,,,1.05,,¥,"Google最新的高级人工智能模型, veo3.1 高质量 模式，支持视频自动配套音频生成，质量超高，价格也超高，使用需注意, 支持首尾帧和文生视频","视频生成, 异步",按次计费,,,
gpt-5.1-all,OpenAI,0.625,5,,/M输出,¥,GPT-5.1：更智能、更具对话性的聊天GPT，最常用的型号，现在更温暖、更智能，更能遵循您的指令。,"对话, 识图, 联网",按量计费,,,
gpt-5.1-thinking-all,OpenAI,0.625,5,,/M输出,¥,GPT-5.1：更智能、更具对话性的聊天GPT，先进的推理模型，现在更容易理解，处理简单任务速度更快，处理复杂任务更持久。,"对话, 识图, 思考, 联网",按量计费,,,
grok-4.1,Grok,1,5,,/M输出,¥,Grok 4.1 在创造性、情感化和协作式交互方面表现卓越，能够更敏锐地捕捉细微意图，对话体验更具吸引力，人格特质保持高度一致，同时完整继承了前代产品犀利的智能表现与可靠性能。,"对话, 识图, 联网",按量计费,,,
grok-4.1-thinking,Grok,1,5,,/M输出,¥,Grok 4.1 在创造性、情感化和协作式交互方面表现卓越，能够更敏锐地捕捉细微意图，对话体验更具吸引力，人格特质保持高度一致，同时完整继承了前代产品犀利的智能表现与可靠性能。,"对话, 思考, 识图, 联网",按量计费,,,
veo3.1-fast,Gemini,,,0.21,,¥,"Google最新的高级人工智能模型, veo3.1 快速 模式，支持视频自动配套音频生成，质量高价格很低，性价比最高的选择, 支持首尾帧和文生视频","视频生成, 异步",按次计费,,,
andreasjansson/stable-diffusion-animation,Replicate,,,0.488,,¥,通过在两个提示之间进行插值来制作稳定扩散的动画,"绘画, 异步",按次计费,,,
BAAI/bge-reranker-v2-m3,SiliconCloud,0.005,0.005,,/M输出,¥,BAAI/bge-reranker-v2-m3 是一个轻量级的多语言重排序模型。它基于 bge-m3 模型开发，具有强大的多语言能力，易于部署，并且推理速度快。该模型采用查询和文档作为输入，直接输出相似度分数，而不是嵌入向量。它适用于多语言场景，特别是在中文和英文处理方面表现出色,重排序,按量计费,,,
babbage-002,OpenAI,0.2,0.2,,/M输出,¥,替代 GPT-3 ada 和 babbage 基础模型。,对话,按量计费,,,
black-forest-labs/flux-1.1-pro,Replicate,,,0.15,,¥,Replicate 平台格式的 Flux,"绘画, 异步",按次计费,,,
black-forest-labs/flux-1.1-pro-ultra,Replicate,,,0.225,,¥,FLUX1.1 [pro] – 超高模式：此选项支持以标准 FLUX1.1 [pro] 四倍的分辨率生成图像，且不影响快速生成。与许多高分辨率模型在更高分辨率下速度明显下降不同，我们的性能基准测试显示，该模型能够持续快速生成图像——比同类高分辨率产品快 2.5 倍以上。,"绘画, 异步",按次计费,,,
black-forest-labs/flux-dev,Replicate,,,0.094,,¥,Replicate 平台格式的 Flux,"绘画, 异步",按次计费,,,
black-forest-labs/flux-fill-dev,Replicate,,,0.15,,¥,用于编辑和扩展图像的开放权重修复模型。从 FLUX.1 Fill [pro] 中 Guidance 蒸馏。,"绘画, 异步",按张计费,,,
black-forest-labs/flux-fill-pro,Replicate,,,0.188,,¥,具有最先进性能的专业修复和修复模型。编辑或扩展图像，获得自然、无缝的效果。,"绘画, 异步",按次计费,,,
black-forest-labs/flux-kontext-dev,Replicate,,,0.094,,¥,Replicate 平台格式的 Flux，最先进的基于文本的图像编辑模型，通过自然语言转换图像，提供高质量的输出，具有出色的提示跟踪和一致的结果,"绘画, 异步",按次计费,,,
black-forest-labs/flux-kontext-max,Replicate,,,0.3,,¥,Replicate 平台格式的 Flux，最先进的基于文本的图像编辑模型，通过自然语言转换图像，提供高质量的输出，具有出色的提示跟踪和一致的结果,"绘画, 异步",按次计费,,,
black-forest-labs/flux-kontext-pro,Replicate,,,0.15,,¥,Replicate 平台格式的 Flux，一个高级的基于文本的图像编辑模型，提供最大的性能和改进的排版生成，通过自然语言提示转换图像,"绘画, 异步",按次计费,,,
black-forest-labs/flux-pro,Replicate,,,0.206,,¥,Replicate 平台格式的 Flux,"绘画, 异步",按次计费,,,
black-forest-labs/flux-schnell,Replicate,,,0.011,,¥,Replicate 平台格式的 Flux,"绘画, 异步",按次计费,,,
chatgpt-4o-latest,OpenAI,20,60,,/M输出,¥,ChatGPT 中的动态模型不断更新至当前版本的 GPT-4o。旨在用于研究和评估 [2]。输入128K，输出16K,"对话, 识图",按量计费,,,
cjwbw/rembg,Replicate,,,0.019,,¥,删除图像背景,"绘画, 异步",按次计费,,,
claude-3-5-haiku-20241022,Claude,0.4,2,,/M输出,¥,Claude模型的最新版本，具有最先进的语言处理技术，支持200K上下文、读取图片,对话,按量计费,,,
claude-3-5-haiku-latest,Claude,2.4,12,,/M输出,¥,Claude Haiku 3.5 (latest) 是由 anthropic 提供的人工智能模型。,"工具, 多模态, 对话",按量计费,,,
claude-3-5-sonnet-20240620,Claude,2.4,12,,/M输出,¥,"<div>Claude-3.5 Sonnet是一个强大的AI助手,具有出色的推理能力和200K上下文窗口。它支持图像分析,可以处理复杂的任务,同时保持高效和经济实惠。</div>","对话, 识图",按量计费,,,
claude-3-5-sonnet-20241022,Claude,1.5,7.5,,/M输出,¥,Claude模型的最新版本 claude-3-5，具有最先进的语言处理技术，支持200K上下文、读取图片,"对话, 识图",按量计费,,,
claude-3-7-sonnet-20250219,Claude,1.5,7.5,,/M输出,¥,Claude 3.7 Sonnet 既是普通的 LLM 模型，又是推理模型。在标准模式下，Claude 3.7 Sonnet 是 Claude 3.5 Sonnet 的升级版。在扩展思维模式下，它会在回答前进行自我反思，从而提高其在数学、物理、遵循指令、编码和许多其他任务上的表现。我们通常发现，在两种模式下，对模型的提示方式类似。Claude 在编码能力方面全面领先。,"对话, 识图, 思考",按量计费,,,
claude-3-7-sonnet-20250219-thinking,Claude,1.5,7.5,,/M输出,¥,Claude 3.7 Sonnet 既是普通的 LLM 模型，又是推理模型。在标准模式下，Claude 3.7 Sonnet 是 Claude 3.5 Sonnet 的升级版。在扩展思维模式下，它会在回答前进行自我反思，从而提高其在数学、物理、遵循指令、编码和许多其他任务上的表现。我们通常发现，在两种模式下，对模型的提示方式类似。Claude 在编码能力方面全面领先。,"对话, 思考",按量计费,,,
claude-3-7-sonnet-latest,Claude,9,45,,/M输出,¥,Claude Sonnet 3.7 (latest) 是由 anthropic 提供的人工智能模型。,"工具, 多模态, 思考, 对话",按量计费,,,
claude-3-haiku-20240307,Claude,0.125,0.625,,/M输出,¥,"Claude-3 Haiku是一个快速、高效的AI助手,具有出色的推理能力和200K上下文窗口。它是Claude-3系列中最轻量级的版本,适合需要快速响应的场景。","对话, 识图",按量计费,,,
claude-3-opus-20240229,Claude,7.5,37.5,,/M输出,¥,"Claude-3 Opus是Claude-3系列中最强大的模型,具有卓越的推理能力、200K上下文窗口和高级图像分析功能。它能够处理最复杂的任务,提供最准确的结果。","对话, 识图",按量计费,,,
claude-3-sonnet-20240229,Claude,1.5,7.5,,/M输出,¥,Claude Sonnet 3 是由 anthropic 提供的人工智能模型。,"对话, 识图",按量计费,,,
claude-3-sonnet-all,Claude,1.5,2.25,,/M输出,¥,Claude Sonnet 3 是由 anthropic 提供的人工智能模型。,"对话, 识图",按量计费,,,
claude-opus-4-5-20251101-thinking,Claude,2.5,12.5,,/M输出,¥,,,按量计费,,,
codex-mini-2025-05-16,OpenAI,22.5,22.5,,/M输出,¥,,"对话, 工具, 思考",按量计费,,,
codex-mini-latest,OpenAI,4.5,18,,/M输出,¥,Codex Mini 是由 openai 提供的人工智能模型。,"工具, 思考, 对话",按量计费,,,
dall-e-3,OpenAI,,,0.012,,¥,生成图像的新版本DALL-E。,绘画,按次计费,,,
davinci-002,OpenAI,20,20,,/M输出,¥,替代 GPT-3 curie 和 davinci 基础模型。,对话,按量计费,,,
deepseek-chat,DeepSeek,1,4,,/M输出,¥,最强开源 MoE 模型 DeepSeek-V3,对话,按量计费,,,
deepseek-math-v2,DeepSeek,2,8,,/M输出,¥,,"对话, 思考",按量计费,,,
deepseek-ocr,DeepSeek,,,0.02,,¥,DeepSeek AI 推出 DeepSeek-OCR，一个开源系统，使用光学 2D 映射来压缩长文本段落。这种方法旨在增强大语言模型处理文本密集型输入的能力。这种被称为 “上下文压缩新范式” 的方法表明，与传统标记化相比，视觉编码可以更高效地存储和检索语言。,识图,按次计费,,,
deepseek-r1,DeepSeek,1.2,4.8,,/M输出,¥,deepseek-r1 是由深度求索推出的深度思考模型。在后训练阶段大规模使用了强化学习技术，在仅有极少标注数据的情况下，极大提升了模型推理能力。在数学、代码、自然语言推理等任务上，性能比肩 OpenAI o1 正式版。自动指向最新版本,"对话, 思考",按量计费,,,
deepseek-r1-0528,DeepSeek,1.2,4.8,,/M输出,¥,,,按量计费,,,
deepseek-r1-2025-01-20,DeepSeek,1.2,4.8,,/M输出,¥,deepseek-r1,"对话, 思考",按量计费,,,
deepseek-r1-250120,DeepSeek,1.2,4.8,,/M输出,¥,,,按量计费,,,
deepseek-r1-250528,DeepSeek,1.2,4.8,,/M输出,¥,DeepSeek 最新模型。该模型在推理、代码生成等能力上相比前代有显著增强，并已在各大评测中表现优异，全面接近 OpenAI O3 级别！,"对话, 思考",按量计费,,,
deepseek-r1-distill-llama-70b,DeepSeek,0.5,1.5,,/M输出,¥,基于 Llama-3.3-70B练阶段大规模使用了强化学习技术的DeepSeek-R1,对话,按量计费,,,
deepseek-r1-distill-qwen-32b,AlibabaCloud,1,3,,/M输出,¥,基于 Qwen2.5-32B练阶段大规模使用了强化学习技术的DeepSeek-R1,对话,按量计费,,,
deepseek-r1-distill-qwen-7b,AlibabaCloud,0.25,0.5,,/M输出,¥,基于 Qwen2.5-Math-7B练阶段大规模使用了强化学习技术的DeepSeek-R1,对话,按量计费,,,
deepseek-r1-searching,DeepSeek,2,8,,/M输出,¥,deepseek-r1 开源版本部署的，可联网搜索,"对话, 联网, 思考",按量计费,,,
deepseek-reasoner,DeepSeek,1.2,4.8,,/M输出,¥,deepseek-r1,对话,按量计费,,,
deepseek-v3,DeepSeek,1,4,,/M输出,¥,DeepSeek V3 是由 alibaba-cn 提供的人工智能模型。,对话,按量计费,,,
deepseek-v3-0324,DeepSeek,1,4,,/M输出,¥,"deepseek最新大模型,推理任务表现提高,前端开发能力增强,中文写作升级,中文搜索能力优化",对话,按量计费,,,
deepseek-v3-1,DeepSeek,1.2,3.6,,/M输出,¥,深度求索全新推出的混合推理模型，支持思考与非思考2种推理模式，较 deepseek-r1-0528 思考效率更高,对话,按量计费,,,
deepseek-v3-1-250821,DeepSeek,1.2,3.6,,/M输出,¥,"默认指向deepseek-v3-1-terminus
深度求索全新推出的混合推理模型，支持思考与非思考2种推理模式，较 deepseek-r1-0528 思考效率更高","对话, 思考",按量计费,,,
deepseek-v3-1-think-250821,DeepSeek,1.2,3.6,,/M输出,¥,"默认指向最新deepseek-v3-1-terminus
混合推理：思考与非思考——一个模型，两种模式
更快的思考：DeepSeek-V3.1-Think 与 DeepSeek-R1-0528 相比，可以在更短的时间内找到答案
更强的代理技能：后期培训可提升工具使用和多步骤代理任务","对话, 思考",按量计费,,,
deepseek-v3-250324,DeepSeek,1,4,,/M输出,¥,"deepseek最新大模型,推理任务表现提高,前端开发能力增强,中文写作升级,中文搜索能力优化",对话,按量计费,,,
deepseek-v3-search,DeepSeek,1,4,,/M输出,¥,deepseek-v3-search 是v3 联网查询版本,"对话, 联网",按量计费,,,
deepseek-v3.1,DeepSeek,1.2,3.6,,/M输出,¥,深度求索全新推出的混合推理模型，支持思考与非思考2种推理模式，较 deepseek-r1-0528 思考效率更高,"对话, 思考",按量计费,,,
deepseek-v3.1-thinking,DeepSeek,2,6,,/M输出,¥,,,按量计费,,,
deepseek-v3.2,DeepSeek,1,1.5,,/M输出,¥,,,按量计费,,,
deepseek-v3.2-exp,DeepSeek,0.6,0.9,,/M输出,¥,deepSeek-V3.2-Exp 模型，这是一个实验性（Experimental）的版本。作为迈向新一代架构的中间步骤，V3.2-Exp 在 V3.1-Terminus 的基础上引入了 DeepSeek Sparse Attention（一种稀疏注意力机制），针对长文本的训练和推理效率进行了探索性的优化和验证。,对话,按量计费,,,
deepseek-v3.2-exp-thinking,DeepSeek,1,1.5,,/M输出,¥,,,按量计费,,,
deepseek-v3.2-speciale,DeepSeek,1,1.5,,/M输出,¥,,,按量计费,,,
deepseek-v3.2-thinking,DeepSeek,1,1.5,,/M输出,¥,,,按量计费,,,
Dolphin3.0-R1-Mistral-24B,Mistral,0.729,1.457,,/M输出,¥,Mistral Large 是 Mistral AI 的旗舰模型，具备顶级的推理能力 。它在复杂的多语言推理任务中表现出色，包括文本理解、转换和代码生成 。,对话,按量计费,,,
doubao-seed-1-6-250615,Doubao,0.6,6,,/M输出,¥,全能综合型模型，是全能型的综合模型，也是国内首个支持 256K上下文的思考模型。模型具备深度思考、多模态理解及图形界面操作等多项能力。用户根据需求灵活选择开启或关闭深度思考功能，支持自适应思考模式，自适应模式根据提示词的难度自动判断是否开启深度思考，在提升效果的同时，大幅减少 tokens 的消耗。,"对话, 思考, 多模态",按量计费,,,
doubao-seed-1-6-251015,Doubao,0.6,6,,/M输出,¥,支持调节思考长度，即支持API中的reasoning_effort 字段，分为minimal、low、medium、high四种模式。可以压缩整体输出长度，平衡客户在不同场景下对效果、时延、成本的需求。,"对话, 识图, 思考",按量计费,,,
doubao-seed-1-6-thinking-250615,Doubao,0.6,6,,/M输出,¥,深度思考强化版，是豆包大模型 1.6 系列中专注于深度思考的强化版本。模型在代码编写、数学计算、逻辑推理等基础能力上进行进一步提升，能处理更复杂的任务。同时支持 256K的上下文，能理解和生成更长的文本内容，适合需要深度分析和复杂推理的场景。,"对话, 思考, 多模态",按量计费,,,
doubao-seed-1-6-thinking-250715,Doubao,0.6,6,,/M输出,¥,在思考能力上进行了大幅强化， 对比 doubao 1.5 代深度理解模型，在编程、数学、逻辑推理等基础能力上进一步提升， 支持视觉理解。,"对话, 多模态",按量计费,,,
doubao-seed-1-6-vision-250815,Doubao,1.2,9.6,,/M输出,¥,Doubao-Seed-1.6-vision 视觉深度思考模型，在教育、图像审核、巡检与安防和AI 搜索问答等场景下展现出更强的通用多模态理解和推理能力。支持 256k 上下文窗口，输出长度支持最大 64k tokens。,"对话, 多模态",按量计费,,,
doubao-seedance-1-0-lite-i2v-250428,Doubao,,,7.5,,¥,Seedance 1.0 lite 具备强大的语义理解与指令遵循能力，可精细控制人物外貌气质、衣着风格、表情动作，在多主体动作解析、嵌入式文本响应、程度副词和镜头切换响应方面，也展现出了绝对优势。运镜能力强，支持环绕、航拍、变焦、平移、跟随、手持等多种镜头语言。生成的视频兼容多种风格，具备细腻高清的基础画质和影视级美感。,"异步, 视频生成",,,,
doubao-seedance-1-0-lite-t2v-250428,Doubao,,,7.5,,¥,Seedance 1.0 lite 具备强大的语义理解与指令遵循能力，可精细控制人物外貌气质、衣着风格、表情动作，在多主体动作解析、嵌入式文本响应、程度副词和镜头切换响应方面，也展现出了绝对优势。运镜能力强，支持环绕、航拍、变焦、平移、跟随、手持等多种镜头语言。生成的视频兼容多种风格，具备细腻高清的基础画质和影视级美感。,"异步, 视频生成",,,,
doubao-seedance-1-0-pro-250528,Doubao,,,11.25,,¥,Seedance 1.0 是字节跳动豆包大模型团队最新推出的视频生成基础模型。Seedance 1.0 pro作为该模型系列的大参数量版本，具备独特的多镜头叙事能力，在各维度表现出色。它在语义理解与指令遵循能力上取得突破，能生成运动流畅、细节丰富、风格多样且具备影视级美感的 1080P 高清视频,"异步, 视频生成",,,,
doubao-seedance-1-0-pro-fast-251015,Doubao,,,3.15,,¥,Seedance 1.0 pro fast是一款价格触底、效能封顶的全面模型，在视频生成质量、速度、价格之间取得了卓越平衡。它继承了Seedance 1.0 pro 核心优势，同时生成速度提升、价格更具竞争力，为创作者带来效率与成本双重优化的体验,"视频生成, 异步",,,,
